loan_id,application_id,customer_id,disbursement_date,loan_amount,current_loan_status,total_principal_paid,total_interest_paid,remaining_balance,last_payment_date,next_payment_date,days_past_due,default_flag,application_date,loan_purpose,amount_requested,term_months,application_status,funnel_stage_reached,interest_rate_offered,dti_ratio,customer_name,age,employment_status,length_of_employment_years,annual_income,housing_status,city,state,join_date,credit_score_fico,total_credit_lines,open_credit_lines,derogatory_public_records,revolving_utilization_rate,credit_history_length_months,inquiries_last_6_months,nsf_count
LOAN0000823,APP0001502,CUST003903,2024-03-14,25161.59,Fully Paid,23948.82,2681.14,1212.77,2025-08-08,2025-09-07,0,0,2025-11-15,Major Purchase,25161.59,60,Approved,Disbursed,9.85,9.95,Priya Johnson,60.0,Retired,0.0,19898.44,Rent,Omaha,NE,2021-07-22,713.0,15.0,6.0,0.0,38.45,338.0,1.0,0.0
LOAN0000824,APP0001503,CUST001176,2025-04-23,29276.32,In Grace Period,18456.25,3791.73,10820.07,2027-04-09,2027-05-09,20,0,2025-05-27,Credit Card Refinancing,29276.32,60,Approved,Disbursed,27.13,,Sneha Johnson,,Employed,0.44,39570.31,Rent,New York,NY,2019-10-29,666.0,20.0,10.0,0.0,30.01,35.0,0.0,0.0
LOAN0000825,APP0001505,CUST003024,2025-03-24,2033.95,Fully Paid,1855.0,312.98,178.95,2027-07-24,2027-08-23,0,0,2023-04-12,Credit Card Refinancing,2033.95,60,Approved,Disbursed,22.97,8.02,Ramesh Jones,53.0,Unemployed,0.0,,Rent,Miami,FL,2016-12-08,699.0,16.0,10.0,0.0,62.11,123.0,4.0,0.0
LOAN0000826,APP0001507,CUST003345,2024-01-21,10965.0,Current,10849.21,775.84,115.79,,2026-01-07,10,0,2024-10-16,Debt Consolidation,10965.0,60,Approved,Disbursed,12.75,3.58,Richard Gupta,28.0,Employed,2.15,100327.94,Mortgage,Las Vegas,NV,2015-05-02,647.0,10.0,2.0,0.0,20.42,214.0,2.0,0.0
LOAN0000827,APP0001510,CUST000520,2025-11-03,9704.25,Fully Paid,8993.64,1119.69,710.61,2026-04-06,2026-05-06,10,0,2023-04-07,Home Improvement,9704.25,36,Approved,Disbursed,18.26,3.21,Richard Rao,49.0,Employed,3.75,58535.44,Own,Portland,OR,2018-02-25,756.0,15.0,9.0,0.0,28.47,183.0,1.0,0.0
LOAN0000828,APP0001511,CUST002978,2023-04-03,9058.04,In Grace Period,4594.38,910.43,4463.66,2024-11-15,2024-12-15,20,0,,Home Improvement,9058.04,36,Approved,Disbursed,7.2,13.8,Barbara Williams,29.0,Self-Employed,5.24,27193.6,Rent,Oklahoma City,OK,2015-12-30,675.0,17.0,8.0,0.0,28.51,358.0,0.0,0.0
LOAN0000829,APP0001513,CUST000268,2022-03-08,7296.78,Fully Paid,6693.03,868.6,603.75,,2022-09-23,20,0,2022-06-13,Home Improvement,7296.78,36,Approved,Disbursed,25.72,,Linda Gonzalez,22.0,Self-Employed,9.28,162557.18,Rent,Denver,CO,09/04/2016,657.0,3.0,6.0,0.0,9.34,188.0,0.0,0.0
LOAN0000830,APP0001514,CUST003757,2023-10-02,22786.84,Fully Paid,12258.98,1718.45,10527.86,2025-10-19,2025-11-18,0,0,2025-02-28,Major Purchase,22786.84,36,Approved,Disbursed,6.54,,Jennifer Jones,41.0,Retired,0.0,58123.19,Rent,Austin,TX,2020-09-12,690.0,8.0,14.0,2.0,12.31,110.0,0.0,0.0
LOAN0000831,APP0001519,CUST001685,2025-05-10,8224.23,Current,5209.89,1075.93,3014.34,2027-09-08,2027-10-08,0,0,2022-03-13,Credit Card Refinancing,8224.23,36,Approved,Disbursed,14.13,15.12,Amit Wilson,25.0,Employed,3.57,79380.51,Mortgage,San Antonio,TX,2016-07-07,649.0,18.0,12.0,0.0,45.98,165.0,0.0,1.0
LOAN0000832,APP0001520,CUST004874,2022-11-28,15801.61,Fully Paid,8236.7,1146.3,7564.91,,2024-01-30,10,0,2022-11-09,Credit Card Refinancing,15801.61,36,Approved,Disbursed,6.63,16.02,Linda Anderson,42.0,Employed,0.3,68328.18,Own,Columbus,OH,2017-07-21,572.0,15.0,7.0,0.0,21.59,152.0,2.0,1.0
LOAN0000833,APP0001525,CUST000867,2023-06-27,3771.24,Current,2770.92,420.78,1000.32,2024-01-18,2024-02-17,0,0,2024-05-22,Major Purchase,3771.24,36,Approved,Disbursed,19.39,24.26,Robert Brown,43.0,Retired,0.0,,Own,Charlotte,NC,2021-07-16,774.0,21.0,9.0,1.0,4.96,99.0,0.0,0.0
LOAN0000834,APP0001526,CUST003139,2024-01-12,8465.6,Current,4872.27,1185.48,3593.33,2024-11-04,2024-12-04,0,0,,Home Improvement,8465.6,36,Approved,Disbursed,15.4,15.39,David Jones,45.0,Employed,2.88,26926.12,Own,New York,NY,24/06/2015,657.0,14.0,4.0,3.0,13.99,37.0,1.0,1.0
LOAN0000835,APP0001527,CUST001492,2024-08-10,6061.26,Current,5549.36,1060.37,511.9,2026-02-03,2026-03-05,0,0,2025-01-08,Home Improvement,6061.26,60,Approved,Disbursed,7.48,43.13,Jessica Jones,70.0,Self-Employed,5.3,58107.72,Mortgage,Las Vegas,NV,2017-02-12,662.0,21.0,2.0,0.0,28.76,350.0,2.0,0.0
LOAN0000836,APP0001529,CUST000387,2025-01-02,10366.05,Fully Paid,8211.11,724.59,2154.94,2025-05-28,2025-06-27,0,0,2024-05-02,Credit Card Refinancing,10366.05,36,Approved,Disbursed,9.52,6.78,Ramesh Wilson,44.0,Employed,0.83,98902.57,Mortgage,Las Vegas,NV,2019-05-17,707.0,23.0,2.0,2.0,9.08,182.0,1.0,0.0
LOAN0000837,APP0001532,CUST001795,2023-01-31,16674.95,Fully Paid,9004.05,1242.88,-465.79,2023-03-25,2023-04-24,10,0,2023-08-10,Debt Consolidation,16674.95,60,Approved,Disbursed,14.86,20.43,Linda Miller,42.0,Employed,1.97,87147.27,Rent,Jacksonville,FL,2019-03-29,680.0,22.0,2.0,0.0,50.74,296.0,1.0,0.0
LOAN0000838,APP0001534,CUST002215,2022-05-12,9352.27,Current,9351.05,497.78,1.22,2022-10-19,2022-11-18,0,0,2025-07-26,Credit Card Refinancing,9352.27,60,Approved,Disbursed,7.62,,Pooja Kumar,34.0,Employed,0.05,55927.19,Rent,Oklahoma City,OK,2015-12-18,732.0,20.0,6.0,0.0,13.21,303.0,3.0,0.0
LOAN0000839,APP0001537,CUST001003,2025-07-24,10521.35,In Grace Period,10434.69,1550.26,86.66,2025-10-03,2025-11-02,0,0,2022-08-08,Credit Card Refinancing,10521.35,36,Approved,Disbursed,6.12,18.26,Sarah Miller,40.0,Employed,0.91,107870.84,Mortgage,Raleigh,NC,2021-09-26,713.0,17.0,14.0,3.0,14.32,350.0,0.0,0.0
LOAN0000840,APP0001538,CUST000664,2023-10-17,16064.99,In Grace Period,10602.76,1401.59,5462.23,2026-01-16,2026-02-15,0,0,2022-10-13,Credit Card Refinancing,16064.99,36,Approved,Disbursed,26.37,11.48,Kiran Davis,33.0,Employed,1.76,59546.01,Mortgage,Omaha,NE,2018-12-07,603.0,10.0,1.0,2.0,53.41,190.0,1.0,0.0
LOAN0000841,APP0001540,CUST004179,2022-11-07,21188.91,Current,16923.35,2430.07,4265.56,2024-01-04,2024-02-03,20,0,2024-11-08,Credit Card Refinancing,21188.91,36,Approved,Disbursed,21.15,10.23,Sarah Hernandez,61.0,Employed,14.31,59434.73,Mortgage,Austin,TX,2017-11-01,640.0,9.0,14.0,0.0,19.46,127.0,0.0,0.0
LOAN0000842,APP0001542,CUST002260,2023-07-29,12094.51,Fully Paid,6683.59,793.98,5410.92,2024-05-08,2024-06-07,0,0,2022-03-25,Debt Consolidation,12094.51,36,Approved,Disbursed,12.16,18.01,Deepa Shah,42.0,Employed,2.91,,Rent,Sacramento,CA,2019-12-14,694.0,13.0,8.0,0.0,18.11,235.0,0.0,1.0
LOAN0000843,APP0001544,CUST004443,2025-03-19,35200.9,Fully Paid,18091.11,3470.34,17109.79,2027-06-26,2027-07-26,0,0,2024-07-25,Credit Card Refinancing,35200.9,60,Approved,Disbursed,6.97,27.24,William Patel,46.0,Retired,0.0,18255.9,Own,Omaha,NE,2021-10-28,632.0,24.0,10.0,0.0,38.33,318.0,3.0,0.0
LOAN0000844,APP0001546,CUST001023,2024-08-08,4284.8,Fully Paid,3979.78,849.8,305.02,2024-12-18,2025-01-17,0,0,2023-11-27,Debt Consolidation,4284.8,60,Approved,Disbursed,8.41,15.18,Pooja Brown,39.0,Employed,0.05,33323.82,Mortgage,Chicago,IL,2018-04-15,,20.0,14.0,0.0,23.64,330.0,4.0,0.0
LOAN0000845,APP0001549,CUST004999,2025-02-03,33915.46,Late (16-30 days),33231.6,1932.97,683.86,2026-10-16,2026-11-15,10,0,2025-04-13,Credit Card Refinancing,33915.46,36,Approved,Disbursed,21.51,1.93,Anil Hernandez,49.0,Self-Employed,6.53,,Mortgage,Portland,OR,2015-08-17,619.0,9.0,1.0,0.0,46.18,331.0,0.0,0.0
LOAN0000846,APP0001550,CUST002975,2025-05-28,12408.9,Late (16-30 days),10568.73,1313.3,1840.17,2026-05-25,2026-06-24,0,0,2024-10-22,Major Purchase,12408.9,36,Approved,Disbursed,9.52,27.93,Lisa Garcia,50.0,Employed,4.19,36746.61,Mortgage,Fresno,CA,2020-01-06,671.0,17.0,12.0,0.0,37.43,294.0,3.0,0.0
LOAN0000847,APP0001552,CUST002701,2023-07-20,11784.08,Current,8056.9,1423.28,3727.18,,2025-11-02,5,0,,Credit Card Refinancing,11784.08,60,Approved,Disbursed,21.05,17.29,Jessica Jones,44.0,Employed,3.3,31157.78,Mortgage,Jacksonville,FL,2021-08-07,794.0,20.0,11.0,0.0,30.1,198.0,0.0,0.0
LOAN0000848,APP0001553,CUST001675,2025-11-08,20219.17,Late (16-30 days),19819.7,4660.16,399.47,2026-10-06,2026-11-05,0,0,2022-05-13,Debt Consolidation,20219.17,60,Approved,Disbursed,17.47,13.72,Arjun Anderson,59.0,Retired,0.0,46246.61,Rent,Portland,OR,14/10/2016,778.0,9.0,13.0,0.0,14.99,309.0,1.0,0.0
LOAN0000849,APP0001554,CUST004764,2025-07-27,5466.42,Current,4525.43,751.99,940.99,2026-05-19,2026-06-18,10,0,2023-11-07,Major Purchase,5466.42,36,Approved,Disbursed,22.51,19.53,Priya Wilson,44.0,Employed,7.11,112339.03,Own,Milwaukee,WI,2019-04-02,566.0,21.0,11.0,1.0,47.39,213.0,1.0,0.0
LOAN0000850,APP0001555,CUST002386,2023-05-14,3288.65,Fully Paid,1919.34,359.23,1369.31,2024-01-30,2024-02-29,0,0,2024-12-25,Home Improvement,3288.65,60,Approved,Disbursed,12.78,7.24,Sneha Williams,30.0,Unemployed,0.0,76148.63,Mortgage,Columbus,OH,2020-05-08,705.0,3.0,1.0,1.0,59.29,131.0,2.0,0.0
LOAN0000851,APP0001556,CUST004420,2023-09-08,7446.35,In Grace Period,4905.03,850.0,2541.32,2024-09-02,2024-10-02,5,0,2024-06-14,Home Improvement,7446.35,60,Approved,Disbursed,12.36,21.52,Sarah Lopez,22.0,Self-Employed,1.43,88118.6,Rent,Raleigh,NC,2019-10-24,638.0,23.0,1.0,0.0,24.83,167.0,2.0,0.0
LOAN0000852,APP0001557,CUST002567,2023-12-28,15385.1,Fully Paid,8396.22,951.18,6988.88,2026-04-14,2026-05-14,0,0,2025-03-11,Debt Consolidation,15385.1,60,Approved,Disbursed,23.95,18.28,Sneha Mehta,28.0,Employed,2.16,95237.45,Mortgage,Fresno,CA,2015-01-10,660.0,9.0,7.0,0.0,31.92,132.0,2.0,0.0
LOAN0000853,APP0001558,CUST003262,2023-04-18,6431.87,Current,5391.34,580.83,1040.53,2024-01-17,2024-02-16,5,0,2022-06-18,Credit Card Refinancing,6431.87,60,Approved,Disbursed,16.61,21.35,Charles Nair,40.0,Employed,0.95,144697.0,Mortgage,Miami,FL,2016-04-03,597.0,3.0,12.0,0.0,21.04,295.0,0.0,0.0
LOAN0000854,APP0001561,CUST002383,2025-08-24,6004.86,Current,3463.95,740.93,2540.91,2027-02-17,2027-03-19,20,0,2025-08-07,Debt Consolidation,6004.86,60,Approved,Disbursed,25.77,12.71,William Hernandez,44.0,Employed,3.03,85361.83,Mortgage,Tucson,AZ,2018-08-07,544.0,13.0,4.0,0.0,18.17,181.0,3.0,0.0
LOAN0000855,APP0001564,CUST003074,2023-10-23,2897.68,Fully Paid,2501.62,580.25,396.06,2024-04-20,2024-05-20,20,0,2023-06-19,Credit Card Refinancing,2897.68,36,Approved,Disbursed,25.14,14.6,Barbara Lopez,59.0,Unemployed,0.0,72377.64,Rent,Las Vegas,NV,2018-10-15,732.0,17.0,8.0,0.0,18.76,341.0,3.0,0.0
LOAN0000856,APP0001566,CUST002721,2022-08-27,13704.63,Late (31-120 days),859.89,117.19,12844.74,,2022-12-19,235,1,2023-07-03,Credit Card Refinancing,13704.63,60,Approved,Disbursed,23.77,21.32,Mary Gupta,63.0,Employed,0.73,122184.04,Mortgage,Washington,DC,2020-12-07,726.0,19.0,3.0,1.0,18.32,77.0,0.0,8.0
LOAN0000857,APP0001569,CUST001251,2023-08-27,6519.22,Fully Paid,6346.5,621.61,172.72,2023-10-02,2023-11-01,5,0,2024-02-09,Credit Card Refinancing,6519.22,60,Approved,Disbursed,14.25,21.36,Michael Gupta,43.0,Employed,5.52,124533.54,Own,Sacramento,CA,2017-09-12,692.0,20.0,10.0,0.0,38.69,225.0,0.0,0.0
LOAN0000858,APP0001572,CUST000545,2025-05-09,18818.61,Current,15106.7,2627.8,3711.91,2026-10-08,2026-11-07,0,0,2022-11-12,Home Improvement,18818.61,60,Approved,Disbursed,21.46,7.98,Amit Jones,22.0,Employed,3.17,86515.26,Mortgage,Oklahoma City,OK,2015-03-07,576.0,10.0,5.0,1.0,68.0,117.0,0.0,0.0
LOAN0000859,APP0001575,CUST002136,2022-05-21,40638.53,Current,21804.97,4817.5,18833.56,2022-07-29,2022-08-28,0,0,2025-12-21,Credit Card Refinancing,40638.53,36,Approved,Disbursed,22.65,7.15,Joseph Anderson,33.0,Employed,1.1,61385.27,Mortgage,Louisville,KY,2021-06-10,659.0,24.0,12.0,0.0,56.34,205.0,1.0,0.0
LOAN0000860,APP0001576,CUST004832,2024-03-13,12338.2,Current,9906.91,586.51,2431.29,2025-02-05,2025-03-07,5,0,2023-04-18,Small Business,12338.2,60,Approved,Disbursed,17.53,33.04,James Davis,25.0,Employed,8.59,100852.95,Mortgage,Columbus,OH,2018-12-16,720.0,21.0,8.0,0.0,24.3,312.0,0.0,0.0
LOAN0000861,APP0001578,CUST002649,2025-07-27,10118.77,Current,8293.72,745.48,1825.05,2027-10-15,2027-11-14,0,0,2025-08-13,Home Improvement,10118.77,36,Approved,Disbursed,7.67,20.6,Vikram Davis,40.0,Self-Employed,2.62,117985.38,Mortgage,Las Vegas,NV,2021-10-16,605.0,7.0,13.0,0.0,23.32,321.0,1.0,0.0
LOAN0000862,APP0001579,CUST002921,2023-01-14,12010.84,Current,6459.37,1195.44,5551.47,2024-07-10,2024-08-09,0,0,,Debt Consolidation,12010.84,36,Approved,Disbursed,7.99,15.19,Patricia Nair,31.0,Self-Employed,1.26,42587.47,Rent,Portland,OR,2021-08-26,588.0,11.0,9.0,1.0,40.23,75.0,6.0,0.0
LOAN0000863,APP0001582,CUST004210,2022-03-30,17902.99,Fully Paid,14882.01,1311.4,3020.98,2022-12-06,2023-01-05,0,0,2022-01-28,Debt Consolidation,17902.99,60,Approved,Disbursed,22.81,12.39,Amit Nair,26.0,Self-Employed,0.44,17818.03,Rent,Omaha,NE,2015-11-16,663.0,24.0,14.0,0.0,41.59,283.0,0.0,0.0
LOAN0000864,APP0001587,CUST000162,2025-07-30,18982.83,Fully Paid,9946.46,2252.16,9036.37,2025-08-19,2025-09-18,0,0,2022-09-29,Debt Consolidation,18982.83,36,Approved,Disbursed,12.21,11.97,Charles Nair,49.0,Unemployed,0.0,53640.13,Mortgage,Indianapolis,IN,2018-05-21,480.0,24.0,3.0,0.0,11.5,189.0,0.0,0.0
LOAN0000865,APP0001589,CUST004370,2022-11-24,26566.3,Fully Paid,18794.86,3018.93,7771.44,,2024-05-29,0,0,2024-12-19,Debt Consolidation,26566.3,36,Approved,Disbursed,19.73,5.23,Susan Rao,42.0,Self-Employed,2.51,51035.27,Rent,Philadelphia,PA,2020-02-01,682.0,13.0,2.0,0.0,24.35,219.0,2.0,0.0
LOAN0000866,APP0001590,CUST000040,2024-06-13,27817.34,Fully Paid,19053.69,2613.35,8763.65,2024-09-29,2024-10-29,0,0,,Debt Consolidation,27817.34,36,Approved,Disbursed,15.97,21.64,David Mehta,42.0,Employed,10.99,79269.92,Rent,Washington,DC,2018-07-16,669.0,21.0,10.0,2.0,14.91,121.0,0.0,0.0
LOAN0000867,APP0001591,CUST002864,2023-02-12,4150.97,Fully Paid,3829.51,303.03,321.46,2024-02-04,2024-03-05,0,0,2024-04-13,Debt Consolidation,4150.97,60,Approved,Disbursed,11.94,5.33,Karen Miller,48.0,Employed,3.84,47318.77,Rent,Portland,OR,2017-07-01,790.0,10.0,5.0,1.0,44.58,132.0,0.0,0.0
LOAN0000868,APP0001592,CUST000656,2023-10-21,22371.8,Late (16-30 days),14369.1,1054.27,8002.7,2025-05-24,2025-06-23,5,0,2022-02-13,Debt Consolidation,22371.8,36,Approved,Disbursed,7.84,15.61,Arjun Gonzalez,40.0,Employed,2.81,91670.84,Rent,San Diego,CA,2021-05-19,773.0,3.0,9.0,1.0,35.21,341.0,0.0,0.0
LOAN0000869,APP0001595,CUST003245,2024-08-07,16503.44,Fully Paid,9910.28,1173.43,6593.16,2026-08-24,2026-09-23,5,0,2023-09-24,Debt Consolidation,16503.44,36,Approved,Disbursed,7.81,9.4,James Lopez,37.0,Unemployed,0.0,113151.18,Mortgage,Indianapolis,IN,2016-02-21,561.0,14.0,12.0,2.0,17.51,237.0,0.0,0.0
LOAN0000870,APP0001596,CUST000383,2022-02-14,7555.9,Fully Paid,4705.01,238.9,2850.89,2023-04-18,2023-05-18,20,0,2022-01-13,Major Purchase,7555.9,60,Approved,Disbursed,12.35,18.59,Lisa Johnson,22.0,Employed,4.72,53449.14,Rent,Boston,Massachusetts,2021-01-25,570.0,16.0,7.0,0.0,19.11,158.0,0.0,0.0
LOAN0000871,APP0001599,CUST002567,2023-09-25,17321.1,Fully Paid,16792.71,2863.78,528.39,2025-01-14,2025-02-13,10,0,2024-10-16,Debt Consolidation,17321.1,36,Approved,Disbursed,12.85,7.72,Sneha Mehta,28.0,Employed,2.16,95237.45,Mortgage,Fresno,CA,2015-01-10,660.0,9.0,7.0,0.0,31.92,132.0,2.0,0.0
LOAN0000872,APP0001601,CUST002298,2023-08-10,42181.52,Current,31109.52,3977.21,11072.0,2024-04-15,2024-05-15,20,0,,Home Improvement,42181.52,60,Approved,Disbursed,20.97,2.42,Ramesh Anderson,56.0,Employed,3.5,83261.75,Mortgage,Seattle,WA,12/10/2020,658.0,24.0,10.0,0.0,43.99,331.0,2.0,0.0
LOAN0000873,APP0001602,CUST002763,2023-08-28,16180.29,Current,15014.69,894.35,1165.6,2025-07-29,2025-08-28,0,0,,Credit Card Refinancing,16180.29,60,Approved,Disbursed,8.18,20.47,Sunita Rao,50.0,Employed,1.76,113728.6,Mortgage,Boston,MA,2016-06-13,651.0,18.0,1.0,1.0,24.78,189.0,2.0,0.0
LOAN0000874,APP0001603,CUST000896,2023-02-26,25117.95,Current,12590.56,1415.01,12527.39,2023-03-06,2023-04-05,20,0,2024-03-27,Major Purchase,25117.95,36,Approved,Disbursed,10.13,9.82,Anil Rodriguez,47.0,Unemployed,0.0,26202.83,Mortgage,Omaha,Nebraska,13/04/2019,690.0,13.0,14.0,0.0,17.19,50.0,0.0,0.0
LOAN0000875,APP0001608,CUST002335,2022-03-08,27670.67,Late (31-120 days),15694.35,3249.34,11976.32,2022-11-28,2022-12-28,229,1,2024-06-15,Credit Card Refinancing,27670.67,36,Approved,Disbursed,25.1,11.78,John Mehta,50.0,Employed,2.45,18996.23,Rent,New York,NY,2020-06-16,699.0,16.0,8.0,0.0,16.6,300.0,2.0,8.0
LOAN0000876,APP0001609,CUST002288,2025-06-13,10704.08,Current,5927.67,1275.09,4776.41,2027-03-20,2027-04-19,0,0,2023-03-26,Debt Consolidation,10704.08,36,Approved,Disbursed,25.92,38.99,Sarah Kumar,36.0,Unemployed,0.0,64215.32,Mortgage,San Antonio,TX,2017-04-30,715.0,11.0,5.0,3.0,35.4,73.0,2.0,0.0
LOAN0000877,APP0001611,CUST001291,2023-12-29,19341.28,Fully Paid,9859.91,701.06,9481.37,2025-01-15,2025-02-14,0,0,2025-05-03,Home Improvement,19341.28,60,Approved,Disbursed,17.25,11.29,Linda Rodriguez,44.0,Self-Employed,4.72,30970.56,Mortgage,Charlotte,NC,2019-02-09,651.0,14.0,3.0,3.0,39.44,25.0,2.0,0.0
LOAN0000878,APP0001615,CUST000774,2023-02-10,54425.46,Current,35244.78,2864.43,19180.68,2025-07-01,2025-07-31,0,0,2022-04-24,Debt Consolidation,54425.46,60,Approved,Disbursed,19.14,5.2,Neha Brown,51.0,Retired,0.0,55124.82,Mortgage,Jacksonville,FL,16/03/2017,704.0,9.0,1.0,0.0,12.61,173.0,0.0,0.0
LOAN0000879,APP0001616,CUST001312,2022-06-13,20058.3,In Grace Period,11459.84,1669.26,8598.46,2024-10-13,2024-11-12,0,0,2025-03-16,Home Improvement,20058.3,60,Approved,Disbursed,17.89,20.43,Sneha Lopez,49.0,Employed,2.49,20232.04,Rent,Seattle,WA,2020-09-02,715.0,8.0,13.0,0.0,54.94,179.0,0.0,0.0
LOAN0000880,APP0001618,CUST003818,2022-11-06,19388.45,Fully Paid,17671.34,2987.54,1717.11,2023-04-11,2023-05-11,10,0,2025-04-17,Home Improvement,19388.45,36,Approved,Disbursed,9.51,27.63,Neha Gupta,38.0,Employed,7.97,28579.55,Rent,San Antonio,Texas,2020-06-21,,11.0,2.0,1.0,19.46,138.0,2.0,0.0
LOAN0000881,APP0001622,CUST001984,2022-04-01,26246.71,Fully Paid,17258.95,3234.49,8987.76,2022-12-10,2023-01-09,0,0,2025-12-29,Debt Consolidation,26246.71,36,Approved,Disbursed,16.11,22.19,David Smith,50.0,Self-Employed,3.74,31447.85,Own,Arlington,TX,2016-09-09,850.0,4.0,13.0,0.0,40.82,90.0,3.0,0.0
LOAN0000882,APP0001623,CUST003179,2025-06-03,34578.69,Current,30512.24,6999.08,4066.45,2027-01-28,2027-02-27,0,0,2024-11-05,Debt Consolidation,34578.69,60,Approved,Disbursed,9.92,12.84,Patricia Reddy,51.0,Employed,3.06,42482.3,Rent,Philadelphia,PA,2018-12-30,756.0,24.0,11.0,0.0,12.16,315.0,0.0,0.0
LOAN0000883,APP0001624,CUST001988,2022-12-26,12584.37,Current,7729.26,413.42,4855.11,2023-11-19,2023-12-19,0,0,2023-07-20,Debt Consolidation,12584.37,60,Approved,Disbursed,16.17,13.43,Anjali Lopez,46.0,Unemployed,0.0,64209.4,Rent,Austin,TX,12/02/2021,728.0,16.0,13.0,1.0,22.15,46.0,1.0,0.0
LOAN0000884,APP0001626,CUST001601,2024-03-20,14874.61,Current,8226.42,632.95,6648.19,2025-04-25,2025-05-25,20,0,2025-08-19,Small Business,14874.61,60,Approved,Disbursed,25.58,8.9,Jennifer Hernandez,37.0,Unemployed,0.0,84991.14,Mortgage,San Francisco,CA,16/04/2018,696.0,5.0,11.0,0.0,46.52,215.0,0.0,0.0
LOAN0000885,APP0001627,CUST004915,2022-12-02,41443.34,Fully Paid,30160.54,4718.8,11282.8,2024-07-10,2024-08-09,0,0,2024-11-26,Debt Consolidation,41443.34,60,Approved,Disbursed,18.2,4.05,Joseph Williams,24.0,Self-Employed,3.28,268859.09,Rent,Columbus,OH,17/03/2017,722.0,5.0,7.0,1.0,13.23,281.0,5.0,0.0
LOAN0000886,APP0001629,CUST002129,2022-07-13,11703.86,Current,6286.84,1510.76,5417.02,2023-05-17,2023-06-16,0,0,2025-11-26,Credit Card Refinancing,11703.86,36,Approved,Disbursed,27.36,19.28,Arjun Gupta,48.0,Self-Employed,0.38,36005.38,Mortgage,Omaha,NE,2018-06-23,726.0,14.0,5.0,0.0,35.02,253.0,5.0,0.0
LOAN0000887,APP0001630,CUST000949,2023-03-07,9681.81,Current,9501.97,575.51,179.84,2025-02-09,2025-03-11,0,0,,Major Purchase,9681.81,60,Approved,Disbursed,27.37,31.4,Deepa Smith,39.0,Employed,3.4,81620.68,Own,Tucson,AZ,20/04/2021,631.0,3.0,7.0,1.0,23.1,73.0,0.0,0.0
LOAN0000888,APP0001633,CUST004530,2024-08-03,45664.48,In Grace Period,40356.37,5749.92,5308.11,2025-09-30,2025-10-30,0,0,,Home Improvement,45664.48,36,Approved,Disbursed,9.35,29.95,Neha Anderson,33.0,Self-Employed,0.11,19538.28,Rent,Fresno,CA,15/03/2020,659.0,12.0,6.0,2.0,13.39,47.0,1.0,0.0
LOAN0000889,APP0001634,CUST000432,2023-01-26,11430.71,Current,8720.51,718.62,2710.2,,2025-07-17,10,0,2023-10-04,Home Improvement,11430.71,36,Approved,Disbursed,27.53,5.03,Patricia Davis,22.0,Self-Employed,8.22,302246.23,Rent,Minneapolis,MN,2018-07-05,602.0,20.0,6.0,0.0,33.07,262.0,0.0,0.0
LOAN0000890,APP0001638,CUST001705,2022-07-23,5697.87,Fully Paid,3717.12,395.09,1980.75,2023-06-13,2023-07-13,20,0,,Debt Consolidation,5697.87,60,Approved,Disbursed,17.62,19.16,Thomas Hernandez,44.0,Employed,9.59,119335.3,Mortgage,Boston,MA,2020-12-21,796.0,2.0,3.0,0.0,25.38,294.0,0.0,0.0
LOAN0000891,APP0001639,CUST003101,2023-11-29,78344.0,Fully Paid,43670.91,4419.04,34673.09,2024-07-16,2024-08-15,0,0,2023-03-17,Debt Consolidation,78344.0,36,Approved,Disbursed,11.29,6.68,Vikram Garcia,31.0,Self-Employed,9.2,15000.0,Rent,Omaha,NE,2016-11-21,670.0,16.0,3.0,0.0,49.0,276.0,6.0,0.0
LOAN0000892,APP0001640,CUST003267,2025-08-28,15083.8,Fully Paid,11582.77,2027.31,3501.03,2026-12-06,2027-01-05,0,0,2022-06-15,Debt Consolidation,15083.8,60,Approved,Disbursed,24.86,14.07,Kiran Reddy,29.0,Employed,1.67,39487.52,Own,Omaha,NE,2016-06-09,776.0,17.0,1.0,0.0,25.8,210.0,0.0,0.0
LOAN0000893,APP0001641,CUST003424,2022-02-20,4797.4,Current,3417.83,533.4,1379.57,2023-07-27,2023-08-26,0,0,2024-08-02,Debt Consolidation,4797.4,36,Approved,Disbursed,7.57,10.85,Priya Sharma,45.0,Employed,4.64,16230.88,Mortgage,Los Angeles,CA,08/12/2020,673.0,13.0,3.0,0.0,33.92,41.0,1.0,0.0
LOAN0000894,APP0001642,CUST000655,2023-11-16,11681.55,Current,8900.05,719.01,2781.5,2025-02-19,2025-03-21,5,0,2022-12-30,Debt Consolidation,11681.55,36,Approved,Disbursed,22.52,23.95,Karen Smith,70.0,Employed,6.16,128001.62,Own,Atlanta,GA,2020-11-19,,,,,,,,0.0
LOAN0000895,APP0001644,CUST002893,2022-03-20,29517.2,Fully Paid,23395.82,2773.05,6121.38,2022-07-05,2022-08-04,20,0,2024-10-20,Debt Consolidation,29517.2,60,Approved,Disbursed,11.55,12.92,Rahul Reddy,49.0,Retired,0.0,101436.97,Mortgage,Chicago,IL,2017-11-29,850.0,11.0,13.0,1.0,12.4,216.0,0.0,1.0
